training_dataset_percentage,accuracy
1,0.5370370370370371
2,0.7546296296296297
3,0.8148148148148148
4,0.8703703703703703
5,0.8935185185185185
6,0.8657407407407407
7,0.8472222222222222
8,0.9027777777777778
9,0.9120370370370371
10,0.8796296296296297
11,0.9398148148148148
12,0.9444444444444444
13,0.9675925925925926
14,0.9027777777777778
15,0.9351851851851852
16,0.9305555555555556
17,0.9305555555555556
18,0.9537037037037037
19,0.9490740740740741
20,0.9444444444444444
21,0.9398148148148148
22,0.9490740740740741
23,0.9166666666666666
24,0.9629629629629629
25,0.9490740740740741
26,0.9398148148148148
27,0.9490740740740741
28,0.9444444444444444
29,0.9351851851851852
30,0.9398148148148148
31,0.9444444444444444
32,0.9398148148148148
33,0.9583333333333334
34,0.9490740740740741
35,0.9537037037037037
36,0.9490740740740741
37,0.9629629629629629
38,0.9629629629629629
39,0.9583333333333334
40,0.9490740740740741
41,0.9583333333333334
42,0.9768518518518519
43,0.9722222222222222
44,0.9722222222222222
45,0.9768518518518519
46,0.9675925925925926
47,0.9629629629629629
48,0.9629629629629629
49,0.9722222222222222
50,0.9629629629629629
51,0.9722222222222222
52,0.9722222222222222
53,0.9722222222222222
54,0.9675925925925926
55,0.9583333333333334
56,0.9768518518518519
57,0.9583333333333334
58,0.9814814814814815
59,0.9722222222222222
60,0.9629629629629629
61,0.9675925925925926
62,0.9722222222222222
63,0.9814814814814815
64,0.9768518518518519
65,0.9768518518518519
66,0.9814814814814815
67,0.9768518518518519
68,0.9768518518518519
69,0.9722222222222222
70,0.9722222222222222
71,0.9768518518518519
72,0.9675925925925926
73,0.9722222222222222
74,0.9722222222222222
75,0.9722222222222222
76,0.9675925925925926
77,0.9722222222222222
78,0.9768518518518519
79,0.9722222222222222
80,0.9768518518518519
81,0.9722222222222222
82,0.9814814814814815
83,0.9722222222222222
84,0.9768518518518519
85,0.9768518518518519
86,0.9722222222222222
87,0.9768518518518519
88,0.9768518518518519
89,0.9768518518518519
90,0.9768518518518519
91,0.9722222222222222
92,0.9722222222222222
93,0.9768518518518519
94,0.9768518518518519
95,0.9722222222222222
96,0.9722222222222222
97,0.9768518518518519
98,0.9722222222222222
99,0.9722222222222222
